 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 -0.80000000E+01,0.10000000E-01,0.22331000E-02,0.10000000E-01,0.37570000E-02,0.33400000E-02                                                                                                                                                                
 -0.78383838E+01,0.10000000E-01,0.24508245E-02,0.10000000E-01,0.41233029E-02,0.36656459E-02                                                                                                                                                                
 -0.76767677E+01,0.10000000E-01,0.26897769E-02,0.10000000E-01,0.45253198E-02,0.40230418E-02                                                                                                                                                                
 -0.75151515E+01,0.10000000E-01,0.29520268E-02,0.10000000E-01,0.49665329E-02,0.44152834E-02                                                                                                                                                                
 -0.73535354E+01,0.10000000E-01,0.32398457E-02,0.10000000E-01,0.54507637E-02,0.48457681E-02                                                                                                                                                                
 -0.71919192E+01,0.10000000E-01,0.35557267E-02,0.10000000E-01,0.59822065E-02,0.53182245E-02                                                                                                                                                                
 -0.70303030E+01,0.10000000E-01,0.39024057E-02,0.10000000E-01,0.65654642E-02,0.58367449E-02                                                                                                                                                                
 -0.68686869E+01,0.10000000E-01,0.42828854E-02,0.10000000E-01,0.72055889E-02,0.64058203E-02                                                                                                                                                                
 -0.67070707E+01,0.10000000E-01,0.47004614E-02,0.10000000E-01,0.79081249E-02,0.70303798E-02                                                                                                                                                                
 -0.65454545E+01,0.10000000E-01,0.51587506E-02,0.10000000E-01,0.86791573E-02,0.77158332E-02                                                                                                                                                                
 -0.63838384E+01,0.10000000E-01,0.56617225E-02,0.10000000E-01,0.95253644E-02,0.84681174E-02                                                                                                                                                                
 -0.62222222E+01,0.10000000E-01,0.62137334E-02,0.10000000E-01,0.10454076E-01,0.92937484E-02                                                                                                                                                                
 -0.60606061E+01,0.10000000E-01,0.68195647E-02,0.10000000E-01,0.11473335E-01,0.10199877E-01                                                                                                                                                                
 -0.58989899E+01,0.10000000E-01,0.74844639E-02,0.10000000E-01,0.12591971E-01,0.11194353E-01                                                                                                                                                                
 -0.57373737E+01,0.10000000E-01,0.82141899E-02,0.10000000E-01,0.13819673E-01,0.12285788E-01                                                                                                                                                                
 -0.55757576E+01,0.10000000E-01,0.90150632E-02,0.10000000E-01,0.15167074E-01,0.13483638E-01                                                                                                                                                                
 -0.54141414E+01,0.10000000E-01,0.98940208E-02,0.10000000E-01,0.16645845E-01,0.14798276E-01                                                                                                                                                                
 -0.52525253E+01,0.10000000E-01,0.10858676E-01,0.10000000E-01,0.18268794E-01,0.16241089E-01                                                                                                                                                                
 -0.50909091E+01,0.10000000E-01,0.11917383E-01,0.10000000E-01,0.20049979E-01,0.17824575E-01                                                                                                                                                                
 -0.49292929E+01,0.10000000E-01,0.13079313E-01,0.10000000E-01,0.22004827E-01,0.19562450E-01                                                                                                                                                                
 -0.47676768E+01,0.10000000E-01,0.14354530E-01,0.10000000E-01,0.24150271E-01,0.21469764E-01                                                                                                                                                                
 -0.46060606E+01,0.10000000E-01,0.15754079E-01,0.10000000E-01,0.26504892E-01,0.23563040E-01                                                                                                                                                                
 -0.44444444E+01,0.10000000E-01,0.17290082E-01,0.10000000E-01,0.29089087E-01,0.25860407E-01                                                                                                                                                                
 -0.42828283E+01,0.10000000E-01,0.18975844E-01,0.10000000E-01,0.31925237E-01,0.28381765E-01                                                                                                                                                                
 -0.41212121E+01,0.10000000E-01,0.20825965E-01,0.10000000E-01,0.35037908E-01,0.31148952E-01                                                                                                                                                                
 -0.39595960E+01,0.10000000E-01,0.22856471E-01,0.10000000E-01,0.38454060E-01,0.34185936E-01                                                                                                                                                                
 -0.37979798E+01,0.10000000E-01,0.25084949E-01,0.10000000E-01,0.42203284E-01,0.37519023E-01                                                                                                                                                                
 -0.36363636E+01,0.10000000E-01,0.27530701E-01,0.10000000E-01,0.46318052E-01,0.41177081E-01                                                                                                                                                                
 -0.34747475E+01,0.10000000E-01,0.30214910E-01,0.10000000E-01,0.50834005E-01,0.45191796E-01                                                                                                                                                                
 -0.33131313E+01,0.10000000E-01,0.33160826E-01,0.10000000E-01,0.55790258E-01,0.49597940E-01                                                                                                                                                                
 -0.31515152E+01,0.10000000E-01,0.36393966E-01,0.10000000E-01,0.61229739E-01,0.54433678E-01                                                                                                                                                                
 -0.29898990E+01,0.10000000E-01,0.39942333E-01,0.10000000E-01,0.67199563E-01,0.59740894E-01                                                                                                                                                                
 -0.28282828E+01,0.10000000E-01,0.43836661E-01,0.10000000E-01,0.73751437E-01,0.65565558E-01                                                                                                                                                                
 -0.26666667E+01,0.10000000E-01,0.48110681E-01,0.10000000E-01,0.80942111E-01,0.71958119E-01                                                                                                                                                                
 -0.25050505E+01,0.10000000E-01,0.52801413E-01,0.10000000E-01,0.88833867E-01,0.78973946E-01                                                                                                                                                                
 -0.23434343E+01,0.10000000E-01,0.57949486E-01,0.10000000E-01,0.97495060E-01,0.86673809E-01                                                                                                                                                                
 -0.21818182E+01,0.10000000E-01,0.63599489E-01,0.10000000E-01,0.10700071E+00,0.95124398E-01                                                                                                                                                                
 -0.20202020E+01,0.10000000E-01,0.69800361E-01,0.10000000E-01,0.11743314E+00,0.10439891E+00                                                                                                                                                                
