 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 -0.80000000E+01,0.93749924E-15,0.93748312E-15,0.93749924E-15,0.37554809E-14,0.23457765E-14                                                                                                                                                                
 -0.78383838E+01,0.13601509E-14,0.13601275E-14,0.13601509E-14,0.54485597E-14,0.34033201E-14                                                                                                                                                                
 -0.76767677E+01,0.19733460E-14,0.19733121E-14,0.19733460E-14,0.79049272E-14,0.49376348E-14                                                                                                                                                                
 -0.75151515E+01,0.28629872E-14,0.28629380E-14,0.28629872E-14,0.11468696E-13,0.71636626E-14                                                                                                                                                                
 -0.73535354E+01,0.41537043E-14,0.41536328E-14,0.41537043E-14,0.16639114E-13,0.10393248E-13                                                                                                                                                                
 -0.71919192E+01,0.60263137E-14,0.60262100E-14,0.60263137E-14,0.24140506E-13,0.15078823E-13                                                                                                                                                                
 -0.70303030E+01,0.87431493E-14,0.87429989E-14,0.87431493E-14,0.35023740E-13,0.21876791E-13                                                                                                                                                                
 -0.68686869E+01,0.12684813E-13,0.12684594E-13,0.12684813E-13,0.50813450E-13,0.31739477E-13                                                                                                                                                                
 -0.67070707E+01,0.18403491E-13,0.18403175E-13,0.18403491E-13,0.73721616E-13,0.46048547E-13                                                                                                                                                                
 -0.65454545E+01,0.26700315E-13,0.26699855E-13,0.26700315E-13,0.10695744E-12,0.66808557E-13                                                                                                                                                                
 -0.63838384E+01,0.38737585E-13,0.38736919E-13,0.38737585E-13,0.15517693E-12,0.96927778E-13                                                                                                                                                                
 -0.62222222E+01,0.56201603E-13,0.56200636E-13,0.56201603E-13,0.22513516E-12,0.14062561E-12                                                                                                                                                                
 -0.60606061E+01,0.81538903E-13,0.81537500E-13,0.81538903E-13,0.32663257E-12,0.20402368E-12                                                                                                                                                                
 -0.58989899E+01,0.11829899E-12,0.11829695E-12,0.11829899E-12,0.47388794E-12,0.29600343E-12                                                                                                                                                                
 -0.57373737E+01,0.17163158E-12,0.17162862E-12,0.17163158E-12,0.68753026E-12,0.42945029E-12                                                                                                                                                                
 -0.55757576E+01,0.24900803E-12,0.24900374E-12,0.24900803E-12,0.99748868E-12,0.62305884E-12                                                                                                                                                                
 -0.54141414E+01,0.36126801E-12,0.36126180E-12,0.36126801E-12,0.14471853E-11,0.90395170E-12                                                                                                                                                                
 -0.52525253E+01,0.52413803E-12,0.52412901E-12,0.52413803E-12,0.20996181E-11,0.13114791E-11                                                                                                                                                                
 -0.50909091E+01,0.76043454E-12,0.76042146E-12,0.76043454E-12,0.30461863E-11,0.19027317E-11                                                                                                                                                                
 -0.49292929E+01,0.11032603E-11,0.11032413E-11,0.11032603E-11,0.44194948E-11,0.27605379E-11                                                                                                                                                                
 -0.47676768E+01,0.16006418E-11,0.16006143E-11,0.16006418E-11,0.64119302E-11,0.40050678E-11                                                                                                                                                                
 -0.46060606E+01,0.23222572E-11,0.23222173E-11,0.23222572E-11,0.93026128E-11,0.58106676E-11                                                                                                                                                                
 -0.44444444E+01,0.33691976E-11,0.33691396E-11,0.33691976E-11,0.13496498E-10,0.84302838E-11                                                                                                                                                                
 -0.42828283E+01,0.48881288E-11,0.48880447E-11,0.48881288E-11,0.19581108E-10,0.12230898E-10                                                                                                                                                                
 -0.41212121E+01,0.70918380E-11,0.70917160E-11,0.70918380E-11,0.28408835E-10,0.17744939E-10                                                                                                                                                                
 -0.39595960E+01,0.10289043E-10,0.10288866E-10,0.10289043E-10,0.41216356E-10,0.25744869E-10                                                                                                                                                                
 -0.37979798E+01,0.14927639E-10,0.14927382E-10,0.14927639E-10,0.59797876E-10,0.37351396E-10                                                                                                                                                                
 -0.36363636E+01,0.21657448E-10,0.21657076E-10,0.21657448E-10,0.86756479E-10,0.54190481E-10                                                                                                                                                                
 -0.34747475E+01,0.31421249E-10,0.31420709E-10,0.31421249E-10,0.12586880E-09,0.78621109E-10                                                                                                                                                                
 -0.33131313E+01,0.45586853E-10,0.45586069E-10,0.45586853E-10,0.18261407E-09,0.11406577E-09                                                                                                                                                                
 -0.31515152E+01,0.66138718E-10,0.66137580E-10,0.66138718E-10,0.26494175E-09,0.16548990E-09                                                                                                                                                                
 -0.29898990E+01,0.95955956E-10,0.95954305E-10,0.95955956E-10,0.38438512E-09,0.24009751E-09                                                                                                                                                                
 -0.28282828E+01,0.13921566E-09,0.13921327E-09,0.13921566E-09,0.55767699E-09,0.34834037E-09                                                                                                                                                                
 -0.26666667E+01,0.20197809E-09,0.20197461E-09,0.20197809E-09,0.80909382E-09,0.50538224E-09                                                                                                                                                                
 -0.25050505E+01,0.29303562E-09,0.29303058E-09,0.29303562E-09,0.11738566E-08,0.73322309E-09                                                                                                                                                                
 -0.23434343E+01,0.42514452E-09,0.42513720E-09,0.42514452E-09,0.17030649E-08,0.10637812E-08                                                                                                                                                                
 -0.21818182E+01,0.61681190E-09,0.61680129E-09,0.61681190E-09,0.24708556E-08,0.15433643E-08                                                                                                                                                                
 -0.20202020E+01,0.89488846E-09,0.89487306E-09,0.89488846E-09,0.35847885E-08,0.22391574E-08                                                                                                                                                                
 -0.18585859E+01,0.12983299E-08,0.12983076E-08,0.12983299E-08,0.52009143E-08,0.32486340E-08                                                                                                                                                                
 -0.16969697E+01,0.18836544E-08,0.18836220E-08,0.18836544E-08,0.75456361E-08,0.47132117E-08                                                                                                                                                                
 -0.15353535E+01,0.27328600E-08,0.27328130E-08,0.27328600E-08,0.10947426E-07,0.68380631E-08                                                                                                                                                                
 -0.13737374E+01,0.39649120E-08,0.39648438E-08,0.39649120E-08,0.15882841E-07,0.99208587E-08                                                                                                                                                                
 -0.12121212E+01,0.57524084E-08,0.57523095E-08,0.57524084E-08,0.23043282E-07,0.14393467E-07                                                                                                                                                                
 -0.10505051E+01,0.83457597E-08,0.83456161E-08,0.83457597E-08,0.33431857E-07,0.20882457E-07                                                                                                                                                                
 -0.88888889E+00,0.12108268E-07,0.12108060E-07,0.12108268E-07,0.48503900E-07,0.30296869E-07                                                                                                                                                                
 -0.72727273E+00,0.17567024E-07,0.17566722E-07,0.17567024E-07,0.70370855E-07,0.43955570E-07                                                                                                                                                                
 -0.56565657E+00,0.25486744E-07,0.25486306E-07,0.25486744E-07,0.10209606E-06,0.63772005E-07                                                                                                                                                                
 -0.40404040E+00,0.36976902E-07,0.36976266E-07,0.36976902E-07,0.14812390E-06,0.92522261E-07                                                                                                                                                                
 -0.24242424E+00,0.53647154E-07,0.53646231E-07,0.53647154E-07,0.21490242E-06,0.13423396E-06                                                                                                                                                                
