 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 -0.80000000E+01,0.39788736E+02,0.16000000E+05,0.39788736E+02,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.78383838E+01,0.57726643E+02,0.16000000E+05,0.57726643E+02,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.76767677E+01,0.83751475E+02,0.16000000E+05,0.83751475E+02,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.75151515E+01,0.12150905E+03,0.16000000E+05,0.12150905E+03,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.73535354E+01,0.17628883E+03,0.16000000E+05,0.17628883E+03,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.71919192E+01,0.25576490E+03,0.16000000E+05,0.25576490E+03,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.70303030E+01,0.37107108E+03,0.16000000E+05,0.37107108E+03,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.68686869E+01,0.53836060E+03,0.16000000E+05,0.53836060E+03,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.67070707E+01,0.78106906E+03,0.16000000E+05,0.78106906E+03,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.65454545E+01,0.11331975E+04,0.16000000E+05,0.11331975E+04,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.63838384E+01,0.16440755E+04,0.16000000E+05,0.16440755E+04,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.62222222E+01,0.23852720E+04,0.16000000E+05,0.23852720E+04,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.60606061E+01,0.34606213E+04,0.16000000E+05,0.34606213E+04,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.58989899E+01,0.50207690E+04,0.16000000E+05,0.50207690E+04,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.57373737E+01,0.72842762E+04,0.16000000E+05,0.72842762E+04,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.55757576E+01,0.10568237E+05,0.16000000E+05,0.10568237E+05,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.54141414E+01,0.15332703E+05,0.16000000E+05,0.15332703E+05,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.52525253E+01,0.22245127E+05,0.16000000E+05,0.22245127E+05,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.50909091E+01,0.32273870E+05,0.16000000E+05,0.32273870E+05,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.49292929E+01,0.46823860E+05,0.16000000E+05,0.46823860E+05,0.80000000E+04,0.80000000E+04                                                                                                                                                                
 -0.47676768E+01,0.67933403E+05,0.16000000E+05,0.67933403E+05,0.80000000E+04,0.80000000E+04                                                                                                                                                                
