 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 -0.80000000E+01,0.39788736E+00,0.35729600E+02,0.39788736E+00,0.30056000E+02,0.26720000E+02                                                                                                                                                                
 -0.78383838E+01,0.57726643E+00,0.39213192E+02,0.57726643E+00,0.32986423E+02,0.29325167E+02                                                                                                                                                                
 -0.76767677E+01,0.83751475E+00,0.43036430E+02,0.83751475E+00,0.36202558E+02,0.32184335E+02                                                                                                                                                                
 -0.75151515E+01,0.12150905E+01,0.47232428E+02,0.12150905E+01,0.39732263E+02,0.35322267E+02                                                                                                                                                                
 -0.73535354E+01,0.17628883E+01,0.51837532E+02,0.17628883E+01,0.43606110E+02,0.38766145E+02                                                                                                                                                                
 -0.71919192E+01,0.25576490E+01,0.56891627E+02,0.25576490E+01,0.47857652E+02,0.42545796E+02                                                                                                                                                                
 -0.70303030E+01,0.37107108E+01,0.62438491E+02,0.37107108E+01,0.52523714E+02,0.46693959E+02                                                                                                                                                                
 -0.68686869E+01,0.53836060E+01,0.68526166E+02,0.53836060E+01,0.57644711E+02,0.51246562E+02                                                                                                                                                                
 -0.67070707E+01,0.78106906E+01,0.75207383E+02,0.78106906E+01,0.63264999E+02,0.56243039E+02                                                                                                                                                                
 -0.65454545E+01,0.11331975E+02,0.82540010E+02,0.11331975E+02,0.69433258E+02,0.61726666E+02                                                                                                                                                                
 -0.63838384E+01,0.16440755E+02,0.90587559E+02,0.16440755E+02,0.76202915E+02,0.67744939E+02                                                                                                                                                                
 -0.62222222E+01,0.23852720E+02,0.99419734E+02,0.23852720E+02,0.83632605E+02,0.74349987E+02                                                                                                                                                                
 -0.60606061E+01,0.34606213E+02,0.10911304E+03,0.34606213E+02,0.91786681E+02,0.81599019E+02                                                                                                                                                                
 -0.58989899E+01,0.50207690E+02,0.11975142E+03,0.50207690E+02,0.10073577E+03,0.89554823E+02                                                                                                                                                                
 -0.57373737E+01,0.72842762E+02,0.13142704E+03,0.72842762E+02,0.11055738E+03,0.98286308E+02                                                                                                                                                                
 -0.55757576E+01,0.10568237E+03,0.14424101E+03,0.10568237E+03,0.12133659E+03,0.10786910E+03                                                                                                                                                                
 -0.54141414E+01,0.15332703E+03,0.15830433E+03,0.15332703E+03,0.13316676E+03,0.11838621E+03                                                                                                                                                                
 -0.52525253E+01,0.22245127E+03,0.17373881E+03,0.22245127E+03,0.14615035E+03,0.12992871E+03                                                                                                                                                                
 -0.50909091E+01,0.32273870E+03,0.19067813E+03,0.32273870E+03,0.16039983E+03,0.14259660E+03                                                                                                                                                                
 -0.49292929E+01,0.46823860E+03,0.20926901E+03,0.46823860E+03,0.17603862E+03,0.15649960E+03                                                                                                                                                                
 -0.47676768E+01,0.67933403E+03,0.22967248E+03,0.67933403E+03,0.19320217E+03,0.17175811E+03                                                                                                                                                                
 -0.46060606E+01,0.98559737E+03,0.25206526E+03,0.98559737E+03,0.21203914E+03,0.18850432E+03                                                                                                                                                                
